full_link,title,details,price,availability,size,landlord,online_status,num_rooms,duration_online
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bahnhofsviertel.9779914.html,URBANELITE.COM // No deposit! (no Kaution) // Private Balcony!! // Financial district prime location // All inclusive furnished luxury room close to the Willy-Brandt-Platz underground station!!,"3er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bahnhofsviertel |
                        
                        Friedensstraße",699.0,2024-07-15,25.0,Urban Elite,Online: 2 Minuten,,2.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Westend-Sued.9844830.html,URBANELITE.COM // No deposit! (no Kaution) // Only a few minutes from Westend underground station // All inclusive furnished luxury room in the heart of Frankfurt Westend-Süd!!,"3er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Westend-Süd |
                        
                        Arndstrasse",899.0,2024-07-15,15.0,Urban Elite,Online: 3 Minuten,,3.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Sachsenhausen.10159526.html,"1,5 Zimmer Sachsenhausen","2er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Sachsenhausen |
                        
                        Seehofstr. 18",600.0,,30.0,Pilar,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Innenstadt.10018517.html,URBANELITE.COM // No deposit! (no Kaution) // 200 meters from Konstablerwache // All inclusive furnished luxury room as central as it gets!!,"3er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Innenstadt |
                        
                        Schäfergasse",899.0,2024-07-15,20.0,Urban Elite,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bornheim.11108317.html,Fully furnished living in prime area | 60386-S26-3OGLZI2,"4er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bornheim |
                        
                        Schießhüttenstraße 26",650.0,2024-08-01,15.0,Furnestate,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bornheim.11103144.html,Fully furnished living in prime area | 60386-S26-2OGRZI4,"4er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bornheim |
                        
                        Schießhüttenstraße 26",575.0,2024-09-01,14.0,Furnestate,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bornheim.11088444.html,Fully furnished living in prime area | 60385-S11-5OGZI3,"13er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bornheim |
                        
                        Spessartstraße 11",650.0,2024-09-01,16.0,Furnestate,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bockenheim.11085078.html,Fully furnished living in prime area | 60431-S47-091ZI2,"3er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bockenheim |
                        
                        Schönbornstraße 47",675.0,2024-09-01,12.0,Furnestate,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Niederrad.11089349.html,Fully furnished living in prime area | 60528-K28-1OGZI4,"5er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Niederrad |
                        
                        Königslacherstraße 28",695.0,2024-08-01,22.0,Furnestate,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bockenheim.11085083.html,Fully furnished living in prime area | 60431-S47-117ZI2,"3er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bockenheim |
                        
                        Schönbornstraße 47",650.0,2024-09-01,,Furnestate,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bockenheim.11112007.html,Fully furnished living in prime area | 60431-S47-117ZI1,"3er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bockenheim |
                        
                        Schönbornstraße 47",725.0,2024-07-11,,Furnestate,Online: 4 Minuten,,4.0
https://www.wg-gesucht.de/wg-zimmer-in-Frankfurt-am-Main-Bornheim.11085081.html,Fully furnished living in prime area | 60385-S11-5OGZI14,"15er WG  
                         |

                                                                                    Frankfurt am Main
                            
                            Bornheim |
                        
                        Spessartstraße 11",650.0,2024-09-01,15.0,Furnestate,Online: 4 Minuten,,4.0
